Date,HomeTeam,AwayTeam,HG,AG,Season
2015-08-14,Bayern Munich,Hamburg,5,0,2015-16
2015-08-15,Werder Bremen,Schalke 04,0,3,2015-16
2015-08-15,Mainz,Ingolstadt,0,1,2015-16
2015-08-15,Leverkusen,Hoffenheim,2,1,2015-16
2015-08-15,Darmstadt,Hannover,2,2,2015-16
2015-08-15,Augsburg,Hertha,0,1,2015-16
2015-08-15,Dortmund,M'gladbach,4,0,2015-16
2015-08-16,Stuttgart,FC Koln,1,3,2015-16
2015-08-16,Wolfsburg,Ein Frankfurt,2,1,2015-16
2015-08-21,Hertha,Werder Bremen,1,1,2015-16
2015-08-22,Hoffenheim,Bayern Munich,1,2,2015-16
2015-08-22,Schalke 04,Darmstadt,1,1,2015-16
2015-08-22,Hannover,Leverkusen,0,1,2015-16
2015-08-22,Ein Frankfurt,Augsburg,1,1,2015-16
2015-08-22,FC Koln,Wolfsburg,1,1,2015-16
2015-08-22,Hamburg,Stuttgart,3,2,2015-16
2015-08-23,Ingolstadt,Dortmund,0,4,2015-16
2015-08-23,M'gladbach,Mainz,1,2,2015-16
2015-08-28,Wolfsburg,Schalke 04,3,0,2015-16
2015-08-29,Augsburg,Ingolstadt,0,1,2015-16
2015-08-29,Bayern Munich,Leverkusen,3,0,2015-16
2015-08-29,Darmstadt,Hoffenheim,0,0,2015-16
2015-08-29,FC Koln,Hamburg,2,1,2015-16
2015-08-29,Mainz,Hannover,3,0,2015-16
2015-08-29,Stuttgart,Ein Frankfurt,1,4,2015-16
2015-08-30,Dortmund,Hertha,3,1,2015-16
2015-08-30,Werder Bremen,M'gladbach,2,1,2015-16
2015-09-11,M'gladbach,Hamburg,0,3,2015-16
2015-09-12,Leverkusen,Darmstadt,0,1,2015-16
2015-09-12,Ingolstadt,Wolfsburg,0,0,2015-16
2015-09-12,Hertha,Stuttgart,2,1,2015-16
2015-09-12,Hannover,Dortmund,2,4,2015-16
2015-09-12,Ein Frankfurt,FC Koln,6,2,2015-16
2015-09-12,Bayern Munich,Augsburg,2,1,2015-16
2015-09-13,Hoffenheim,Werder Bremen,1,3,2015-16
2015-09-13,Schalke 04,Mainz,2,1,2015-16
2015-09-18,Mainz,Hoffenheim,3,1,2015-16
2015-09-19,Werder Bremen,Ingolstadt,0,1,2015-16
2015-09-19,Hamburg,Ein Frankfurt,0,0,2015-16
2015-09-19,Wolfsburg,Hertha,2,0,2015-16
2015-09-19,Darmstadt,Bayern Munich,0,3,2015-16
2015-09-19,FC Koln,M'gladbach,1,0,2015-16
2015-09-20,Augsburg,Hannover,2,0,2015-16
2015-09-20,Dortmund,Leverkusen,3,0,2015-16
2015-09-20,Stuttgart,Schalke 04,0,1,2015-16
2015-09-22,Bayern Munich,Wolfsburg,5,1,2015-16
2015-09-22,Darmstadt,Werder Bremen,2,1,2015-16
2015-09-22,Hertha,FC Koln,2,0,2015-16
2015-09-22,Ingolstadt,Hamburg,0,1,2015-16
2015-09-23,M'gladbach,Augsburg,4,2,2015-16
2015-09-23,Schalke 04,Ein Frankfurt,2,0,2015-16
2015-09-23,Leverkusen,Mainz,1,0,2015-16
2015-09-23,Hannover,Stuttgart,1,3,2015-16
2015-09-23,Hoffenheim,Dortmund,1,1,2015-16
2015-09-25,FC Koln,Ingolstadt,1,1,2015-16
2015-09-26,Augsburg,Hoffenheim,1,3,2015-16
2015-09-26,Hamburg,Schalke 04,0,1,2015-16
