Date,HomeTeam,AwayTeam,HG,AG,Season
2017-08-18,Bayern Munich,Leverkusen,3,1,2017-18
2017-08-19,Schalke 04,RB Leipzig,2,0,2017-18
2017-08-19,Mainz,Hannover,0,1,2017-18
2017-08-19,Wolfsburg,Dortmund,0,3,2017-18
2017-08-19,Hertha,Stuttgart,2,0,2017-18
2017-08-19,Hamburg,Augsburg,1,0,2017-18
2017-08-19,Hoffenheim,Werder Bremen,1,0,2017-18
2017-08-20,Freiburg,Ein Frankfurt,0,0,2017-18
2017-08-20,M'gladbach,FC Koln,1,0,2017-18
2017-08-25,FC Koln,Hamburg,1,3,2017-18
2017-08-26,Werder Bremen,Bayern Munich,0,2,2017-18
2017-08-26,Augsburg,M'gladbach,2,2,2017-18
2017-08-26,Dortmund,Hertha,2,0,2017-18
2017-08-26,Ein Frankfurt,Wolfsburg,0,1,2017-18
2017-08-26,Leverkusen,Hoffenheim,2,2,2017-18
2017-08-26,Stuttgart,Mainz,1,0,2017-18
2017-08-27,RB Leipzig,Freiburg,4,1,2017-18
2017-08-27,Hannover,Schalke 04,1,0,2017-18
2017-09-08,Hamburg,RB Leipzig,0,2,2017-18
2017-09-09,Augsburg,FC Koln,3,0,2017-18
2017-09-09,Freiburg,Dortmund,0,0,2017-18
2017-09-09,Hoffenheim,Bayern Munich,2,0,2017-18
2017-09-09,Mainz,Leverkusen,3,1,2017-18
2017-09-09,M'gladbach,Ein Frankfurt,0,1,2017-18
2017-09-09,Wolfsburg,Hannover,1,1,2017-18
2017-09-10,Hertha,Werder Bremen,1,1,2017-18
2017-09-10,Schalke 04,Stuttgart,3,1,2017-18
2017-09-15,Hannover,Hamburg,2,0,2017-18
2017-09-16,Ein Frankfurt,Augsburg,1,2,2017-18
2017-09-16,RB Leipzig,M'gladbach,2,2,2017-18
2017-09-16,Stuttgart,Wolfsburg,1,0,2017-18
2017-09-16,Werder Bremen,Schalke 04,1,2,2017-18
2017-09-16,Bayern Munich,Mainz,4,0,2017-18
2017-09-17,Dortmund,FC Koln,5,0,2017-18
2017-09-17,Hoffenheim,Hertha,1,1,2017-18
2017-09-17,Leverkusen,Freiburg,4,0,2017-18
2017-09-19,Wolfsburg,Werder Bremen,1,1,2017-18
2017-09-19,Augsburg,RB Leipzig,1,0,2017-18
2017-09-19,M'gladbach,Stuttgart,2,0,2017-18
2017-09-19,Schalke 04,Bayern Munich,0,3,2017-18
2017-09-20,Freiburg,Hannover,1,1,2017-18
2017-09-20,Hamburg,Dortmund,0,3,2017-18
2017-09-20,Hertha,Leverkusen,2,1,2017-18
