HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Bayern Munich,Schalke 04,8,0,Germany,Bundesliga,2020-21,2020-09-18
Eintracht Frankfurt,Arminia Bielefeld,1,1,Germany,Bundesliga,2020-21,2020-09-19
Union Berlin,Augsburg,1,3,Germany,Bundesliga,2020-21,2020-09-19
FC Cologne,Hoffenheim,2,3,Germany,Bundesliga,2020-21,2020-09-19
Werder Bremen,Hertha Berlin,1,4,Germany,Bundesliga,2020-21,2020-09-19
VfB Stuttgart,Freiburg,2,3,Germany,Bundesliga,2020-21,2020-09-19
Borussia Dortmund,Borussia M.Gladbach,3,0,Germany,Bundesliga,2020-21,2020-09-19
RasenBallsport Leipzig,Mainz 05,3,1,Germany,Bundesliga,2020-21,2020-09-20
Wolfsburg,Bayer Leverkusen,0,0,Germany,Bundesliga,2020-21,2020-09-20
Hertha Berlin,Eintracht Frankfurt,1,3,Germany,Bundesliga,2020-21,2020-09-25
Bayer Leverkusen,RasenBallsport Leipzig,1,1,Germany,Bundesliga,2020-21,2020-09-26
Borussia M.Gladbach,Union Berlin,1,1,Germany,Bundesliga,2020-21,2020-09-26
Mainz 05,VfB Stuttgart,1,4,Germany,Bundesliga,2020-21,2020-09-26
Augsburg,Borussia Dortmund,2,0,Germany,Bundesliga,2020-21,2020-09-26
Arminia Bielefeld,FC Cologne,1,0,Germany,Bundesliga,2020-21,2020-09-26
Schalke 04,Werder Bremen,1,3,Germany,Bundesliga,2020-21,2020-09-26
Hoffenheim,Bayern Munich,4,1,Germany,Bundesliga,2020-21,2020-09-27
Freiburg,Wolfsburg,1,1,Germany,Bundesliga,2020-21,2020-09-27
Union Berlin,Mainz 05,4,0,Germany,Bundesliga,2020-21,2020-10-02
Eintracht Frankfurt,Hoffenheim,2,1,Germany,Bundesliga,2020-21,2020-10-03
Borussia Dortmund,Freiburg,4,0,Germany,Bundesliga,2020-21,2020-10-03
FC Cologne,Borussia M.Gladbach,1,3,Germany,Bundesliga,2020-21,2020-10-03
Werder Bremen,Arminia Bielefeld,1,0,Germany,Bundesliga,2020-21,2020-10-03
VfB Stuttgart,Bayer Leverkusen,1,1,Germany,Bundesliga,2020-21,2020-10-03
