HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Bordeaux,Nantes,0,0,France,Ligue 1,2020-21,2020-08-21
Dijon,Angers,0,1,France,Ligue 1,2020-21,2020-08-22
Lille,Rennes,1,1,France,Ligue 1,2020-21,2020-08-22
Monaco,Reims,2,2,France,Ligue 1,2020-21,2020-08-23
Lorient,Strasbourg,3,1,France,Ligue 1,2020-21,2020-08-23
Nimes,Brest,4,0,France,Ligue 1,2020-21,2020-08-23
Nice,Lens,2,1,France,Ligue 1,2020-21,2020-08-23
Lyon,Dijon,4,1,France,Ligue 1,2020-21,2020-08-28
Rennes,Montpellier,2,1,France,Ligue 1,2020-21,2020-08-29
Strasbourg,Nice,0,2,France,Ligue 1,2020-21,2020-08-29
Reims,Lille,0,1,France,Ligue 1,2020-21,2020-08-30
Angers,Bordeaux,0,2,France,Ligue 1,2020-21,2020-08-30
Metz,Monaco,0,1,France,Ligue 1,2020-21,2020-08-30
Nantes,Nimes,2,1,France,Ligue 1,2020-21,2020-08-30
Saint-Etienne,Lorient,2,0,France,Ligue 1,2020-21,2020-08-30
Brest,Marseille,2,3,France,Ligue 1,2020-21,2020-08-30
Lens,Paris Saint Germain,1,0,France,Ligue 1,2020-21,2020-09-10
Bordeaux,Lyon,0,0,France,Ligue 1,2020-21,2020-09-11
Montpellier,Nice,3,1,France,Ligue 1,2020-21,2020-09-12
Saint-Etienne,Strasbourg,2,0,France,Ligue 1,2020-21,2020-09-12
Lille,Metz,1,0,France,Ligue 1,2020-21,2020-09-13
Lorient,Lens,2,3,France,Ligue 1,2020-21,2020-09-13
Dijon,Brest,0,2,France,Ligue 1,2020-21,2020-09-13
Angers,Reims,1,0,France,Ligue 1,2020-21,2020-09-13
Nimes,Rennes,2,4,France,Ligue 1,2020-21,2020-09-13
Monaco,Nantes,2,1,France,Ligue 1,2020-21,2020-09-13
Paris Saint Germain,Marseille,0,1,France,Ligue 1,2020-21,2020-09-13
Montpellier,Lyon,2,1,France,Ligue 1,2020-21,2020-09-15
Paris Saint Germain,Metz,1,0,France,Ligue 1,2020-21,2020-09-16
Marseille,Saint-Etienne,0,2,France,Ligue 1,2020-21,2020-09-17
Lyon,Nimes,0,0,France,Ligue 1,2020-21,2020-09-18
Lens,Bordeaux,2,1,France,Ligue 1,2020-21,2020-09-19
Rennes,Monaco,2,1,France,Ligue 1,2020-21,2020-09-19
Nice,Paris Saint Germain,0,3,France,Ligue 1,2020-21,2020-09-20
Strasbourg,Dijon,1,0,France,Ligue 1,2020-21,2020-09-20
Metz,Reims,2,1,France,Ligue 1,2020-21,2020-09-20
Montpellier,Angers,4,1,France,Ligue 1,2020-21,2020-09-20
Brest,Lorient,3,2,France,Ligue 1,2020-21,2020-09-20
Nantes,Saint-Etienne,2,2,France,Ligue 1,2020-21,2020-09-20
Marseille,Lille,1,1,France,Ligue 1,2020-21,2020-09-20
Lille,Nantes,2,0,France,Ligue 1,2020-21,2020-09-25
Saint-Etienne,Rennes,0,3,France,Ligue 1,2020-21,2020-09-26
Marseille,Metz,1,1,France,Ligue 1,2020-21,2020-09-26
Bordeaux,Nice,0,0,France,Ligue 1,2020-21,2020-09-27
Dijon,Montpellier,2,2,France,Ligue 1,2020-21,2020-09-27
Angers,Brest,3,2,France,Ligue 1,2020-21,2020-09-27
Monaco,Strasbourg,3,2,France,Ligue 1,2020-21,2020-09-27
Nimes,Lens,1,1,France,Ligue 1,2020-21,2020-09-27
Lorient,Lyon,1,1,France,Ligue 1,2020-21,2020-09-27
Reims,Paris Saint Germain,0,2,France,Ligue 1,2020-21,2020-09-27
Paris Saint Germain,Angers,6,1,France,Ligue 1,2020-21,2020-10-02
Lens,Saint-Etienne,2,0,France,Ligue 1,2020-21,2020-10-03
Nice,Nantes,2,1,France,Ligue 1,2020-21,2020-10-03
Montpellier,Nimes,0,1,France,Ligue 1,2020-21,2020-10-04
Brest,Monaco,1,0,France,Ligue 1,2020-21,2020-10-04
Strasbourg,Lille,0,3,France,Ligue 1,2020-21,2020-10-04
Metz,Lorient,3,1,France,Ligue 1,2020-21,2020-10-04
Bordeaux,Dijon,3,0,France,Ligue 1,2020-21,2020-10-04
Rennes,Reims,2,2,France,Ligue 1,2020-21,2020-10-04
Lyon,Marseille,1,1,France,Ligue 1,2020-21,2020-10-04
Dijon,Rennes,1,1,France,Ligue 1,2020-21,2020-10-16
Nimes,Paris Saint Germain,0,4,France,Ligue 1,2020-21,2020-10-16
Reims,Lorient,1,3,France,Ligue 1,2020-21,2020-10-17
Marseille,Bordeaux,3,1,France,Ligue 1,2020-21,2020-10-17
Strasbourg,Lyon,2,3,France,Ligue 1,2020-21,2020-10-18
Nantes,Brest,3,1,France,Ligue 1,2020-21,2020-10-18
Monaco,Montpellier,1,1,France,Ligue 1,2020-21,2020-10-18
Angers,Metz,1,1,France,Ligue 1,2020-21,2020-10-18
Saint-Etienne,Nice,1,3,France,Ligue 1,2020-21,2020-10-18
Lille,Lens,4,0,France,Ligue 1,2020-21,2020-10-18
Rennes,Angers,1,2,France,Ligue 1,2020-21,2020-10-23
Lorient,Marseille,0,1,France,Ligue 1,2020-21,2020-10-24
Paris Saint Germain,Dijon,4,0,France,Ligue 1,2020-21,2020-10-24
Montpellier,Reims,0,4,France,Ligue 1,2020-21,2020-10-25
Bordeaux,Nimes,2,0,France,Ligue 1,2020-21,2020-10-25
Metz,Saint-Etienne,2,0,France,Ligue 1,2020-21,2020-10-25
Brest,Strasbourg,0,3,France,Ligue 1,2020-21,2020-10-25
Nice,Lille,1,1,France,Ligue 1,2020-21,2020-10-25
Lyon,Monaco,4,1,France,Ligue 1,2020-21,2020-10-25
Rennes,Brest,2,1,France,Ligue 1,2020-21,2020-10-31
Nantes,Paris Saint Germain,0,3,France,Ligue 1,2020-21,2020-10-31
Saint-Etienne,Montpellier,0,1,France,Ligue 1,2020-21,2020-11-01
Angers,Nice,0,3,France,Ligue 1,2020-21,2020-11-01
Dijon,Lorient,0,0,France,Ligue 1,2020-21,2020-11-01
Nimes,Metz,0,1,France,Ligue 1,2020-21,2020-11-01
Reims,Strasbourg,2,1,France,Ligue 1,2020-21,2020-11-01
Monaco,Bordeaux,4,0,France,Ligue 1,2020-21,2020-11-01
Lille,Lyon,1,1,France,Ligue 1,2020-21,2020-11-01
Strasbourg,Marseille,0,1,France,Ligue 1,2020-21,2020-11-06
Bordeaux,Montpellier,0,2,France,Ligue 1,2020-21,2020-11-07
Paris Saint Germain,Rennes,3,0,France,Ligue 1,2020-21,2020-11-07
Brest,Lille,3,2,France,Ligue 1,2020-21,2020-11-08
Nimes,Angers,1,5,France,Ligue 1,2020-21,2020-11-08
Metz,Dijon,1,1,France,Ligue 1,2020-21,2020-11-08
Lens,Reims,4,4,France,Ligue 1,2020-21,2020-11-08
Lorient,Nantes,0,2,France,Ligue 1,2020-21,2020-11-08
Nice,Monaco,1,2,France,Ligue 1,2020-21,2020-11-08
Lyon,Saint-Etienne,2,1,France,Ligue 1,2020-21,2020-11-08
Rennes,Bordeaux,0,1,France,Ligue 1,2020-21,2020-11-20
Monaco,Paris Saint Germain,3,2,France,Ligue 1,2020-21,2020-11-20
Brest,Saint-Etienne,4,1,France,Ligue 1,2020-21,2020-11-21
Nantes,Metz,1,1,France,Ligue 1,2020-21,2020-11-22
Dijon,Lens,0,1,France,Ligue 1,2020-21,2020-11-22
Montpellier,Strasbourg,4,3,France,Ligue 1,2020-21,2020-11-22
Reims,Nimes,0,1,France,Ligue 1,2020-21,2020-11-22
Angers,Lyon,0,1,France,Ligue 1,2020-21,2020-11-22
Lille,Lorient,4,0,France,Ligue 1,2020-21,2020-11-22
Lens,Nantes,1,1,France,Ligue 1,2020-21,2020-11-25
Strasbourg,Rennes,1,1,France,Ligue 1,2020-21,2020-11-27
Marseille,Nantes,3,1,France,Ligue 1,2020-21,2020-11-28
Paris Saint Germain,Bordeaux,2,2,France,Ligue 1,2020-21,2020-11-28
Lyon,Reims,3,0,France,Ligue 1,2020-21,2020-11-29
Lens,Angers,1,3,France,Ligue 1,2020-21,2020-11-29
Lorient,Montpellier,0,1,France,Ligue 1,2020-21,2020-11-29
Monaco,Nimes,3,0,France,Ligue 1,2020-21,2020-11-29
Metz,Brest,0,2,France,Ligue 1,2020-21,2020-11-29
Nice,Dijon,1,3,France,Ligue 1,2020-21,2020-11-29
Saint-Etienne,Lille,1,1,France,Ligue 1,2020-21,2020-11-29
Nimes,Marseille,0,2,France,Ligue 1,2020-21,2020-12-04
Rennes,Lens,0,2,France,Ligue 1,2020-21,2020-12-05
Montpellier,Paris Saint Germain,1,3,France,Ligue 1,2020-21,2020-12-05
Lille,Monaco,2,1,France,Ligue 1,2020-21,2020-12-06
Angers,Lorient,2,0,France,Ligue 1,2020-21,2020-12-06
Bordeaux,Brest,1,0,France,Ligue 1,2020-21,2020-12-06
Dijon,Saint-Etienne,0,0,France,Ligue 1,2020-21,2020-12-06
Nantes,Strasbourg,0,4,France,Ligue 1,2020-21,2020-12-06
