HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Verona,Sassuolo,2,3,Italy,Serie A,2021-22,2021-08-21
Inter,Genoa,4,0,Italy,Serie A,2021-22,2021-08-21
Torino,Atalanta,1,2,Italy,Serie A,2021-22,2021-08-21
Empoli,Lazio,1,3,Italy,Serie A,2021-22,2021-08-21
Bologna,Salernitana,3,2,Italy,Serie A,2021-22,2021-08-22
Udinese,Juventus,2,2,Italy,Serie A,2021-22,2021-08-22
Napoli,Venezia,2,0,Italy,Serie A,2021-22,2021-08-22
Roma,Fiorentina,3,1,Italy,Serie A,2021-22,2021-08-22
Cagliari,Spezia,2,2,Italy,Serie A,2021-22,2021-08-23
Sampdoria,AC Milan,0,1,Italy,Serie A,2021-22,2021-08-23
Udinese,Venezia,3,0,Italy,Serie A,2021-22,2021-08-27
Verona,Inter,1,3,Italy,Serie A,2021-22,2021-08-27
Lazio,Spezia,6,1,Italy,Serie A,2021-22,2021-08-28
Atalanta,Bologna,0,0,Italy,Serie A,2021-22,2021-08-28
Juventus,Empoli,0,1,Italy,Serie A,2021-22,2021-08-28
Fiorentina,Torino,2,1,Italy,Serie A,2021-22,2021-08-28
Sassuolo,Sampdoria,0,0,Italy,Serie A,2021-22,2021-08-29
Genoa,Napoli,1,2,Italy,Serie A,2021-22,2021-08-29
AC Milan,Cagliari,4,1,Italy,Serie A,2021-22,2021-08-29
Salernitana,Roma,0,4,Italy,Serie A,2021-22,2021-08-29
Empoli,Venezia,1,2,Italy,Serie A,2021-22,2021-09-11
Napoli,Juventus,2,1,Italy,Serie A,2021-22,2021-09-11
Atalanta,Fiorentina,1,2,Italy,Serie A,2021-22,2021-09-11
Sampdoria,Inter,2,2,Italy,Serie A,2021-22,2021-09-12
Cagliari,Genoa,2,3,Italy,Serie A,2021-22,2021-09-12
Spezia,Udinese,0,1,Italy,Serie A,2021-22,2021-09-12
Torino,Salernitana,4,0,Italy,Serie A,2021-22,2021-09-12
AC Milan,Lazio,2,0,Italy,Serie A,2021-22,2021-09-12
Roma,Sassuolo,2,1,Italy,Serie A,2021-22,2021-09-12
Bologna,Verona,1,0,Italy,Serie A,2021-22,2021-09-13
Sassuolo,Torino,0,1,Italy,Serie A,2021-22,2021-09-17
Genoa,Fiorentina,1,2,Italy,Serie A,2021-22,2021-09-18
Inter,Bologna,6,1,Italy,Serie A,2021-22,2021-09-18
Salernitana,Atalanta,0,1,Italy,Serie A,2021-22,2021-09-18
Empoli,Sampdoria,0,3,Italy,Serie A,2021-22,2021-09-19
Venezia,Spezia,1,2,Italy,Serie A,2021-22,2021-09-19
Verona,Roma,3,2,Italy,Serie A,2021-22,2021-09-19
Lazio,Cagliari,2,2,Italy,Serie A,2021-22,2021-09-19
Juventus,AC Milan,1,1,Italy,Serie A,2021-22,2021-09-19
Udinese,Napoli,0,4,Italy,Serie A,2021-22,2021-09-20
Bologna,Genoa,2,2,Italy,Serie A,2021-22,2021-09-21
Atalanta,Sassuolo,2,1,Italy,Serie A,2021-22,2021-09-21
Fiorentina,Inter,1,3,Italy,Serie A,2021-22,2021-09-21
Salernitana,Verona,2,2,Italy,Serie A,2021-22,2021-09-22
Spezia,Juventus,2,3,Italy,Serie A,2021-22,2021-09-22
Cagliari,Empoli,0,2,Italy,Serie A,2021-22,2021-09-22
AC Milan,Venezia,2,0,Italy,Serie A,2021-22,2021-09-22
Sampdoria,Napoli,0,4,Italy,Serie A,2021-22,2021-09-23
Torino,Lazio,1,1,Italy,Serie A,2021-22,2021-09-23
Roma,Udinese,1,0,Italy,Serie A,2021-22,2021-09-23
Spezia,AC Milan,1,2,Italy,Serie A,2021-22,2021-09-25
Inter,Atalanta,2,2,Italy,Serie A,2021-22,2021-09-25
Genoa,Verona,3,3,Italy,Serie A,2021-22,2021-09-25
Juventus,Sampdoria,3,2,Italy,Serie A,2021-22,2021-09-26
Empoli,Bologna,4,2,Italy,Serie A,2021-22,2021-09-26
Sassuolo,Salernitana,1,0,Italy,Serie A,2021-22,2021-09-26
Udinese,Fiorentina,0,1,Italy,Serie A,2021-22,2021-09-26
Lazio,Roma,3,2,Italy,Serie A,2021-22,2021-09-26
